transaction_id,amount,customer_age,customer_transaction_count,customer_avg_amount,device_age_days,new_device,failed_attempts,transactions_last_1h,transactions_last_24h,location_changed,hour,payment_method,merchant_category,is_fraud
TXN100000,1802.11,67,90,201.04,12,1,2,1,5,0,16,upi,grocery,0
TXN100001,955.02,61,87,461.42,976,0,1,1,5,0,1,netbanking,grocery,0
TXN100002,2095.8,21,289,3654.46,1067,0,1,1,4,0,13,upi,travel,0
TXN100003,5029.27,41,81,825.07,52,0,0,1,1,0,14,upi,grocery,0
TXN100004,867.7,24,170,597.9,9,0,2,4,8,0,13,upi,food,0
TXN100005,867.71,41,160,1349.52,1217,1,0,2,3,0,15,card,grocery,0
TXN100006,5319.92,69,112,486.42,714,0,1,3,5,0,11,netbanking,services,0
TXN100007,2362.4,28,99,1054.4,386,0,0,1,5,0,5,upi,electronics,0
TXN100008,685.76,19,171,1866.89,583,0,1,1,7,0,18,card,food,0
TXN100009,1886.65,61,185,794.59,1487,0,1,3,5,0,13,upi,grocery,0
TXN100010,689.92,58,143,201.22,302,1,0,2,5,0,6,upi,food,0
TXN100011,688.33,23,243,488.8,8,0,1,1,6,0,13,upi,food,0
TXN100012,1396.83,24,71,959.15,813,0,1,2,2,0,11,upi,grocery,0
TXN100013,161.86,55,63,961.14,282,0,1,1,4,0,1,card,services,0
TXN100014,195.41,35,70,1116.71,1147,0,0,1,2,1,4,netbanking,electronics,0
TXN100015,624.98,62,141,226.89,981,0,2,1,7,0,14,card,electronics,0
TXN100016,398.29,26,104,889.53,1342,0,0,4,2,0,17,upi,grocery,0
TXN100017,1501.54,45,146,552.23,766,0,2,1,4,0,15,card,food,0
TXN100018,442.29,36,163,582.56,165,0,0,1,4,0,3,upi,fashion,0
TXN100019,267.12,21,1,412.15,1083,0,1,4,5,0,4,upi,services,0
TXN100020,4748.81,21,216,1265.56,1221,0,3,1,4,0,12,card,electronics,0
TXN100021,875.0,30,125,869.63,1323,0,2,1,0,1,0,upi,grocery,0
TXN100022,1173.24,45,36,1038.7,1441,1,2,1,5,0,3,card,grocery,0
TXN100023,263.82,28,242,1359.82,1075,0,0,1,3,0,1,upi,travel,0
TXN100024,636.27,19,208,366.92,1070,0,0,1,4,0,1,card,fashion,0
TXN100025,1225.28,23,255,1298.27,1295,0,2,0,2,0,5,wallet,electronics,0
TXN100026,346.89,29,253,1334.25,1057,0,1,3,8,0,7,card,grocery,0
TXN100027,1596.71,57,165,567.95,225,0,0,0,3,0,4,card,food,0
TXN100028,601.46,54,122,1336.26,902,1,2,0,7,0,7,netbanking,travel,0
TXN100029,819.18,41,82,605.51,1224,0,4,3,0,0,6,card,food,0
TXN100030,600.82,69,76,206.19,756,0,0,1,8,0,17,netbanking,grocery,0
TXN100031,6990.3,26,179,848.4,568,0,1,0,7,0,23,card,grocery,0
TXN100032,1081.93,43,202,358.66,126,0,2,0,6,0,10,upi,electronics,0
TXN100033,380.81,21,86,651.63,969,0,0,2,9,0,19,wallet,fashion,0
TXN100034,2496.25,58,265,1872.84,1201,0,0,2,4,0,11,wallet,food,0
TXN100035,323.49,61,69,614.82,167,0,0,1,5,0,23,upi,travel,0
TXN100036,1351.36,21,106,1909.85,156,0,1,3,8,0,21,card,food,0
TXN100037,154.52,66,65,484.31,1421,0,1,0,10,0,12,card,services,0
TXN100038,290.56,69,27,927.26,397,0,1,2,5,0,10,upi,food,0
TXN100039,1335.23,51,6,825.01,444,0,1,1,5,0,15,upi,electronics,0
TXN100040,2294.95,39,117,598.43,549,0,1,2,5,0,11,upi,services,0
TXN100041,1301.62,30,146,596.55,7,0,1,4,6,1,5,upi,food,0
TXN100042,976.87,32,164,328.94,585,0,0,0,8,0,14,card,electronics,0
TXN100043,811.51,57,97,964.8,156,1,2,2,4,0,4,wallet,fashion,0
TXN100044,250.0,55,162,1409.38,978,1,1,2,7,0,12,upi,fashion,0
TXN100045,533.87,58,288,128.76,1446,0,0,3,4,0,9,upi,electronics,0
TXN100046,691.84,60,51,1212.11,509,0,1,0,3,0,7,card,electronics,0
TXN100047,3156.19,61,131,310.57,691,0,0,1,3,0,23,upi,grocery,0
TXN100048,1546.3,19,254,1355.81,1269,0,2,1,6,0,4,netbanking,services,0
TXN100049,188.1,19,13,327.91,688,0,2,2,1,0,17,upi,food,0
TXN100050,1516.38,60,8,755.29,785,1,1,1,2,0,5,upi,electronics,0
